0.49,9.32,2,233,52,7,81,74,19
0.50,9.36,2,234,52,7,80,76,19
0.51,9.44,2,236,53,7,80,77,19
0.52,9.72,2,243,60,7,80,78,18
0.53,9.88,2,247,62,6,82,79,18
0.54,10.24,2,256,62,6,85,82,21
0.55,10.44,2,261,62,6,87,85,21
0.56,10.92,2,273,65,6,93,88,21
0.57,11.16,2,279,67,6,95,89,22
0.58,11.28,2,282,68,6,96,89,23
0.59,11.68,2,292,70,6,100,92,24
0.60,11.92,2,298,72,6,103,94,23
0.61,12.24,2,306,77,5,107,95,22
0.62,12.52,2,313,79,5,109,98,22
0.63,12.76,2,319,83,4,112,98,22
0.64,12.96,2,324,85,4,113,99,23
0.65,13.20,2,330,86,4,115,100,25
0.66,13.40,2,335,90,3,116,101,25
0.67,13.80,2,345,96,3,117,103,26
0.68,14.00,2,350,97,3,117,106,27
0.69,14.12,2,353,98,3,118,107,27
0.70,14.60,2,365,101,3,121,112,28
0.71,14.84,2,371,103,3,122,114,29
0.72,15.56,2,389,112,3,128,116,30
0.73,16.04,2,401,116,3,131,118,33
0.74,16.80,2,420,120,3,137,124,36
0.75,17.32,2,433,123,3,143,127,37
0.76,17.84,2,446,125,3,148,130,40
0.77,18.44,2,461,129,3,153,133,43
0.78,18.68,2,467,130,3,154,135,45
0.79,18.96,2,474,133,3,156,138,44
0.80,19.64,2,491,139,3,159,143,47
0.81,20.28,2,507,146,3,164,146,48
0.82,20.76,2,519,148,3,168,150,50
0.83,21.20,2,530,152,3,169,153,53
0.84,21.76,2,544,158,3,174,156,53
0.85,22.40,2,560,163,1,178,163,55
0.86,22.68,2,567,164,1,182,164,56
0.87,23.36,2,584,167,1,189,171,56
0.88,24.04,2,601,171,1,193,178,58
0.89,25.40,2,635,177,1,207,182,68
0.90,26.44,2,661,183,1,213,191,73
0.91,27.32,2,683,189,1,221,193,79
0.92,28.36,2,709,195,1,231,201,81
0.93,29.40,2,735,200,1,239,211,84
0.94,30.64,2,766,205,1,248,222,90
0.95,32.16,2,804,211,1,257,237,98
0.96,34.00,2,850,222,1,264,246,117
0.97,36.56,2,914,238,0,275,269,132
0.98,39.76,2,994,259,0,289,289,157
0.99,45.00,2,1125,291,0,310,319,205
1.00,80.00,2,2000,500,500,500,500,0
0.01,12.24,3,306,5,30,157,72,42
0.02,9.24,3,231,8,121,22,64,16
0.03,4.16,3,104,3,38,24,34,5
0.04,3.52,3,88,3,32,15,29,9
0.05,2.56,3,64,3,10,21,26,4
0.06,2.00,3,50,4,6,11,19,10
0.07,2.00,3,50,5,6,14,22,3
0.08,2.00,3,50,6,5,14,23,2
0.09,2.24,3,56,7,9,14,22,4
0.10,2.20,3,55,7,6,17,23,2
0.11,2.16,3,54,9,6,13,24,2
0.12,2.48,3,62,12,6,16,26,2
0.13,2.40,3,60,14,6,14,24,2
0.14,3.00,3,75,16,7,18,28,6
0.15,2.96,3,74,14,6,18,29,7
0.16,3.12,3,78,19,5,16,33,5
0.17,3.52,3,88,20,6,21,34,7
0.18,3.64,3,91,20,8,18,34,11
0.19,4.12,3,103,24,6,23,37,13
0.20,4.48,3,112,25,7,24,43,13
0.21,4.96,3,124,26,7,30,48,13
0.22,5.00,3,125,28,7,30,48,12
0.23,5.52,3,138,29,8,33,53,15
0.24,5.80,3,145,30,8,39,52,16
0.25,5.88,3,147,31,7,39,55,15
0.26,6.32,3,158,31,7,42,61,17
0.27,6.52,3,163,35,7,42,62,17
